entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
products_1_22424953,products_1,bus_standard,SATA,SATQ,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [3], ""chars"": [""Q""], ""originals"": [""A""], ""use_adjacency"": true}",6,medium
products_1_73060691,products_1,bus_standard,USB 3.0,USb 3.0,case_corrupt,"{""position"": 2, ""original"": ""B"", ""replacement"": ""b""}",6,medium
products_1_59458071,products_1,bus_standard,USB 3.0,U5B 3.0,ocr_confuse,"{""positions"": [1], ""chars"": [""5""], ""originals"": [""S""], ""ocr_kind"": [""single""]}",6,medium
products_1_13163468,products_1,bus_standard,USB 3.0,USG 3.0,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [2], ""chars"": [""G""], ""originals"": [""B""], ""use_adjacency"": true}",6,medium
products_1_31257390,products_1,bus_standard,PCI Express x4,PC1 Express x4,ocr_confuse,"{""positions"": [2], ""chars"": [""1""], ""originals"": [""I""], ""ocr_kind"": [""single""]}",6,medium
products_1_67904610,products_1,bus_standard,SATA,5ATA,ocr_confuse,"{""positions"": [0], ""chars"": [""5""], ""originals"": [""S""], ""ocr_kind"": [""single""]}",6,medium
products_1_33115869,products_1,bus_standard,SATA,SATA II,taxonomy_walk,"{""taxonomy"": ""storage_interface"", ""direction"": ""down"", ""from_level"": 0, ""to_level"": 1, ""from_label"": ""SATA""}",6,medium
products_1_10433444,products_1,bus_standard,SATA,S ATA,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 1}",6,medium
products_1_63493764,products_1,capacity_gb,6000.0,60 00.0,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 2}",6,medium
products_1_74156633,products_1,capacity_gb,500.0,5 00.0,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 1}",6,medium
k02_noncorner_products_00058__products_1,products_1,capacity_gb,2000.0,2000.9,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [5], ""chars"": [""9""], ""originals"": [""0""], ""use_adjacency"": true}",6,medium
k02_noncorner_products_00145__products_1,products_1,capacity_gb,64.0,64.O,ocr_confuse,"{""positions"": [3], ""chars"": [""O""], ""originals"": [""0""], ""ocr_kind"": [""single""]}",6,medium
k02_noncorner_products_00298__products_1,products_1,capacity_gb,32.0,32.p,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [3], ""chars"": [""p""], ""originals"": [""0""], ""use_adjacency"": true}",6,medium
products_1_36708398,products_1,category,SSD,SS D,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 2}",6,medium
products_1_7017608,products_1,category,HDD,Storage,taxonomy_walk,"{""taxonomy"": ""product_type"", ""direction"": ""up"", ""from_level"": 1, ""to_level"": 0, ""from_label"": ""HDD""}",6,medium
products_1_11774092,products_1,category,SSD,S SD,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 1}",6,medium
products_1_10313129,products_1,category,HDD,HRD,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [1], ""chars"": [""R""], ""originals"": [""D""], ""use_adjacency"": true}",6,medium
products_1_15715443,products_1,category,GPU,6PU,ocr_confuse,"{""positions"": [0], ""chars"": [""6""], ""originals"": [""G""], ""ocr_kind"": [""single""]}",6,medium
products_1_18406024,products_1,category,HDD,External HDD,taxonomy_walk,"{""taxonomy"": ""product_type"", ""direction"": ""down"", ""from_level"": 1, ""to_level"": 2, ""from_label"": ""HDD""}",6,medium
products_1_60591019,products_1,category,GPU,FPU,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [0], ""chars"": [""F""], ""originals"": [""G""], ""use_adjacency"": true}",6,medium
products_1_3146170,products_1,category,GPU,GPu,case_corrupt,"{""position"": 2, ""original"": ""U"", ""replacement"": ""u""}",6,medium
products_1_21120112,products_1,category,GPU,BPU,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [0], ""chars"": [""B""], ""originals"": [""G""], ""use_adjacency"": true}",6,medium
products_1_74263372,products_1,category,USB_STICK,USB_S TICK,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 5}",6,medium
products_1_74635538,products_1,category,SSD,SSX,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [2], ""chars"": [""X""], ""originals"": [""D""], ""use_adjacency"": true}",6,medium
products_1_25128239,products_1,category,HDD,H DD,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 1}",6,medium
k02_noncorner_products_00060__products_1,products_1,category,Monitor,Mo nitor,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 2}",6,medium
k02_noncorner_products_00074__products_1,products_1,category,USB_STICK,USB_STICk,case_corrupt,"{""position"": 8, ""original"": ""K"", ""replacement"": ""k""}",6,medium
k02_noncorner_products_00125__products_1,products_1,category,SMART_LAMP,AMART_LAMP,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [0], ""chars"": [""A""], ""originals"": [""S""], ""use_adjacency"": true}",6,medium
k02_noncorner_products_00153__products_1,products_1,category,BOOK,VOOK,typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [0], ""chars"": [""V""], ""originals"": [""B""], ""use_adjacency"": true}",6,medium
k02_noncorner_products_00217__products_1,products_1,category,LAMP,lAMP,case_corrupt,"{""position"": 0, ""original"": ""L"", ""replacement"": ""l""}",6,medium
k02_noncorner_products_00227__products_1,products_1,category,RAM,RAm,case_corrupt,"{""position"": 2, ""original"": ""M"", ""replacement"": ""m""}",6,medium
