entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
fullcontact_424,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/Inter_RAO"", ""conflict_preserved"": true}",4,hard
fullcontact_642,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/sandisk/"", ""conflict_preserved"": true}",4,hard
fullcontact_244,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_244"", ""conflict_preserved"": true}",4,hard
fullcontact_697,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/stanley-black-decker/"", ""conflict_preserved"": true}",4,hard
fullcontact_747,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/toshiba/"", ""conflict_preserved"": true}",4,hard
fullcontact_113,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/assurant/"", ""conflict_preserved"": true}",4,hard
http://dbpedia.org/resource/Volvo_Aero,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/Volvo_Aero"", ""conflict_preserved"": true}",4,hard
fullcontact_435,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_435"", ""conflict_preserved"": true}",4,hard
fullcontact_6,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_6"", ""conflict_preserved"": true}",4,hard
fullcontact_544,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_544"", ""conflict_preserved"": true}",4,hard
fullcontact_1911,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_1911"", ""conflict_preserved"": true}",4,hard
fullcontact_728,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/Telenor_Serbia"", ""conflict_preserved"": true}",4,hard
fullcontact_96,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_96"", ""conflict_preserved"": true}",4,hard
fullcontact_366,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/grupo-bimbo/"", ""conflict_preserved"": true}",4,hard
fullcontact_783,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_783"", ""conflict_preserved"": true}",4,hard
fullcontact_79,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/almarai/"", ""conflict_preserved"": true}",4,hard
fullcontact_754,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/TransCanada_Corporation"", ""conflict_preserved"": true}",4,hard
fullcontact_663,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/Sherwin-Williams"", ""conflict_preserved"": true}",4,hard
fullcontact_888,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_888"", ""conflict_preserved"": true}",4,hard
fullcontact_370,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_370"", ""conflict_preserved"": true}",4,hard
fullcontact_691,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_691"", ""conflict_preserved"": true}",4,hard
fullcontact_1724,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/silver-wheaton/"", ""conflict_preserved"": true}",4,hard
fullcontact_910,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/western-digital/"", ""conflict_preserved"": true}",4,hard
http://dbpedia.org/resource/Cyprus_Popular_Bank,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_594"", ""conflict_preserved"": true}",4,hard
fullcontact_326,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_326"", ""conflict_preserved"": true}",4,hard
fullcontact_410,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/intercontinental-hotels/"", ""conflict_preserved"": true}",4,hard
fullcontact_1327,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/Jacobs_Engineering_Group"", ""conflict_preserved"": true}",4,hard
fullcontact_288,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/empire/"", ""conflict_preserved"": true}",4,hard
fullcontact_545,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/Nokia"", ""conflict_preserved"": true}",4,hard
fullcontact_819,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_819"", ""conflict_preserved"": true}",4,hard
fullcontact_769,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/unibail-rodamco/"", ""conflict_preserved"": true}",4,hard
fullcontact_342,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/gazprom/"", ""conflict_preserved"": true}",4,hard
fullcontact_653,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/schneider-electric/"", ""conflict_preserved"": true}",4,hard
fullcontact_7,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_7"", ""conflict_preserved"": true}",4,hard
fullcontact_807,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/W%C3%A4rtsil%C3%A4_Marine"", ""conflict_preserved"": true}",4,hard
fullcontact_812,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_812"", ""conflict_preserved"": true}",4,hard
http://dbpedia.org/resource/G4S_Secure_Solutions_d.o.o.,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_336"", ""conflict_preserved"": true}",4,hard
fullcontact_926,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/Moody's_Corporation"", ""conflict_preserved"": true}",4,hard
fullcontact_281,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/edf/"", ""conflict_preserved"": true}",4,hard
fullcontact_537,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_537"", ""conflict_preserved"": true}",4,hard
fullcontact_684,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_684"", ""conflict_preserved"": true}",4,hard
fullcontact_551,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/norfolk-southern/"", ""conflict_preserved"": true}",4,hard
fullcontact_227,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/Compass_Tours"", ""conflict_preserved"": true}",4,hard
fullcontact_433,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_433"", ""conflict_preserved"": true}",4,hard
fullcontact_18,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_18"", ""conflict_preserved"": true}",4,hard
http://dbpedia.org/resource/ACE_Limited,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_51"", ""conflict_preserved"": true}",4,hard
fullcontact_694,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/southern-co/"", ""conflict_preserved"": true}",4,hard
fullcontact_442,forbes,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://www.forbes.com/companies/johnson-johnson/"", ""conflict_preserved"": true}",4,hard
fullcontact_1342,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_1342"", ""conflict_preserved"": true}",4,hard
fullcontact_418,fullcontact,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""fullcontact_418"", ""conflict_preserved"": true}",4,hard
fullcontact_362,dbpedia,__row__,row_exists,row_absent,remove_entity_row,"{""reason"": ""singleton_target"", ""record_id"": ""http://dbpedia.org/resource/Groupe_SEB"", ""conflict_preserved"": true}",4,hard
