id1,id2,source_1,source_2,label
dblp-00052,crossref-09150,dblp,crossref,true
dblp-00122,crossref-28844,dblp,crossref,true
dblp-00204,crossref-53274,dblp,crossref,true
dblp-00297,crossref-53289,dblp,crossref,true
dblp-00335,crossref-53315,dblp,crossref,true
dblp-00357,crossref-39789,dblp,crossref,true
dblp-00380,crossref-00915,dblp,crossref,true
dblp-00397,crossref-55682,dblp,crossref,true
dblp-00433,crossref-30001,dblp,crossref,true
dblp-00435,crossref-30030,dblp,crossref,true
dblp-00514,crossref-08505,dblp,crossref,true
dblp-00689,crossref-47306,dblp,crossref,true
dblp-00975,crossref-47301,dblp,crossref,true
dblp-01235,crossref-47255,dblp,crossref,true
dblp-01290,crossref-47501,dblp,crossref,true
dblp-01295,crossref-31386,dblp,crossref,true
dblp-01365,crossref-31377,dblp,crossref,true
dblp-01380,crossref-47470,dblp,crossref,true
dblp-01418,crossref-47265,dblp,crossref,true
dblp-01610,crossref-31577,dblp,crossref,true
dblp-01675,crossref-01456,dblp,crossref,true
dblp-01680,crossref-14774,dblp,crossref,true
dblp-01694,crossref-14822,dblp,crossref,true
dblp-01768,crossref-45650,dblp,crossref,true
dblp-01975,crossref-53477,dblp,crossref,true
dblp-01985,crossref-11890,dblp,crossref,true
dblp-02063,crossref-31209,dblp,crossref,true
dblp-02095,crossref-52790,dblp,crossref,true
dblp-02115,crossref-31188,dblp,crossref,true
dblp-02127,crossref-51446,dblp,crossref,true
dblp-02215,crossref-14967,dblp,crossref,true
dblp-02239,crossref-38782,dblp,crossref,true
dblp-02262,crossref-14964,dblp,crossref,true
dblp-02287,crossref-04743,dblp,crossref,true
dblp-02344,crossref-25435,dblp,crossref,true
dblp-02359,crossref-25486,dblp,crossref,true
dblp-02432,crossref-27234,dblp,crossref,true
dblp-02464,crossref-27174,dblp,crossref,true
dblp-02527,crossref-27271,dblp,crossref,true
dblp-02579,crossref-26774,dblp,crossref,true
dblp-02608,crossref-26876,dblp,crossref,true
dblp-02640,crossref-05336,dblp,crossref,true
dblp-02667,crossref-27270,dblp,crossref,true
dblp-02761,crossref-05223,dblp,crossref,true
dblp-02797,crossref-27135,dblp,crossref,true
dblp-02935,crossref-05364,dblp,crossref,true
dblp-03049,crossref-05218,dblp,crossref,true
dblp-03067,crossref-27134,dblp,crossref,true
dblp-03122,crossref-48269,dblp,crossref,true
dblp-03125,crossref-05401,dblp,crossref,true
dblp-03139,crossref-05426,dblp,crossref,true
dblp-03166,crossref-48304,dblp,crossref,true
dblp-03177,crossref-05096,dblp,crossref,true
dblp-03186,crossref-05488,dblp,crossref,true
dblp-03246,crossref-05411,dblp,crossref,true
dblp-03256,crossref-26749,dblp,crossref,true
dblp-03305,crossref-27129,dblp,crossref,true
dblp-03349,crossref-05093,dblp,crossref,true
dblp-03540,crossref-48338,dblp,crossref,true
dblp-03703,crossref-48207,dblp,crossref,true
dblp-03721,crossref-26893,dblp,crossref,true
dblp-03725,crossref-48337,dblp,crossref,true
dblp-03844,crossref-27776,dblp,crossref,true
dblp-04148,crossref-45517,dblp,crossref,true
dblp-04227,crossref-23844,dblp,crossref,true
dblp-04443,crossref-38020,dblp,crossref,true
dblp-04514,crossref-38018,dblp,crossref,true
dblp-04738,crossref-30019,dblp,crossref,true
dblp-05195,crossref-24112,dblp,crossref,true
dblp-05394,crossref-19432,dblp,crossref,true
dblp-05396,crossref-00602,dblp,crossref,true
dblp-05547,crossref-08574,dblp,crossref,true
dblp-05548,crossref-29067,dblp,crossref,true
dblp-05634,crossref-36590,dblp,crossref,true
dblp-05689,crossref-15617,dblp,crossref,true
dblp-05764,crossref-29901,dblp,crossref,true
dblp-05848,crossref-29889,dblp,crossref,true
dblp-05859,crossref-07193,dblp,crossref,true
dblp-05866,crossref-50032,dblp,crossref,true
dblp-05868,crossref-50011,dblp,crossref,true
dblp-05900,crossref-07404,dblp,crossref,true
dblp-05982,crossref-00194,dblp,crossref,true
dblp-06257,crossref-30884,dblp,crossref,true
dblp-06326,crossref-28154,dblp,crossref,true
dblp-06331,crossref-34641,dblp,crossref,true
dblp-06343,crossref-36994,dblp,crossref,true
dblp-06400,crossref-40029,dblp,crossref,true
dblp-06438,crossref-23893,dblp,crossref,true
dblp-06455,crossref-02334,dblp,crossref,true
dblp-06514,crossref-21530,dblp,crossref,true
dblp-06675,crossref-56106,dblp,crossref,true
dblp-06760,crossref-02605,dblp,crossref,true
dblp-06809,crossref-18652,dblp,crossref,true
dblp-06832,crossref-20450,dblp,crossref,true
dblp-06850,crossref-57448,dblp,crossref,true
dblp-06892,crossref-34657,dblp,crossref,true
dblp-07014,crossref-01371,dblp,crossref,true
dblp-07030,crossref-00995,dblp,crossref,true
dblp-07063,crossref-49903,dblp,crossref,true
dblp-07080,crossref-49876,dblp,crossref,true
dblp-07164,crossref-04753,dblp,crossref,true
dblp-07285,crossref-40765,dblp,crossref,true
dblp-07529,crossref-37877,dblp,crossref,true
dblp-07688,crossref-12011,dblp,crossref,true
dblp-07718,crossref-32108,dblp,crossref,true
dblp-07722,crossref-35082,dblp,crossref,true
dblp-07729,crossref-52660,dblp,crossref,true
dblp-07740,crossref-08375,dblp,crossref,true
dblp-07769,crossref-08373,dblp,crossref,true
dblp-07776,crossref-52602,dblp,crossref,true
dblp-07780,crossref-52613,dblp,crossref,true
dblp-07789,crossref-29448,dblp,crossref,true
dblp-07889,crossref-29487,dblp,crossref,true
dblp-07934,crossref-52604,dblp,crossref,true
dblp-07997,crossref-37070,dblp,crossref,true
dblp-07998,crossref-15403,dblp,crossref,true
dblp-08000,crossref-15409,dblp,crossref,true
dblp-08189,crossref-25670,dblp,crossref,true
dblp-08342,crossref-35121,dblp,crossref,true
dblp-08497,crossref-40637,dblp,crossref,true
dblp-08611,crossref-20532,dblp,crossref,true
dblp-08707,crossref-51266,dblp,crossref,true
dblp-08759,crossref-29174,dblp,crossref,true
dblp-08845,crossref-57251,dblp,crossref,true
dblp-08936,crossref-15345,dblp,crossref,true
dblp-08952,crossref-36448,dblp,crossref,true
dblp-08982,crossref-15293,dblp,crossref,true
dblp-09005,crossref-57378,dblp,crossref,true
dblp-09186,crossref-36402,dblp,crossref,true
dblp-09266,crossref-60678,dblp,crossref,true
dblp-09278,crossref-60662,dblp,crossref,true
dblp-09301,crossref-60628,dblp,crossref,true
dblp-09330,crossref-13134,dblp,crossref,true
dblp-09352,crossref-12209,dblp,crossref,true
dblp-09354,crossref-51032,dblp,crossref,true
dblp-09373,crossref-51090,dblp,crossref,true
dblp-09403,crossref-38645,dblp,crossref,true
dblp-09430,crossref-29791,dblp,crossref,true
dblp-09469,crossref-25812,dblp,crossref,true
dblp-09499,crossref-09832,dblp,crossref,true
dblp-09520,crossref-32946,dblp,crossref,true
dblp-09608,crossref-32895,dblp,crossref,true
dblp-09698,crossref-32571,dblp,crossref,true
dblp-09905,crossref-09755,dblp,crossref,true
dblp-09980,crossref-37005,dblp,crossref,true
dblp-10004,crossref-13434,dblp,crossref,true
dblp-10025,crossref-52802,dblp,crossref,true
dblp-10130,crossref-06826,dblp,crossref,true
dblp-10305,crossref-17222,dblp,crossref,true
dblp-10371,crossref-12058,dblp,crossref,true
dblp-10417,crossref-29761,dblp,crossref,true
dblp-10424,crossref-29735,dblp,crossref,true
dblp-10509,crossref-03490,dblp,crossref,true
dblp-10669,crossref-00604,dblp,crossref,true
dblp-10722,crossref-00397,dblp,crossref,true
dblp-10743,crossref-01340,dblp,crossref,true
dblp-10755,crossref-19370,dblp,crossref,true
dblp-10760,crossref-19406,dblp,crossref,true
dblp-10786,crossref-20123,dblp,crossref,true
dblp-10801,crossref-20160,dblp,crossref,true
dblp-10812,crossref-20252,dblp,crossref,true
dblp-10894,crossref-07004,dblp,crossref,true
dblp-10971,crossref-37933,dblp,crossref,true
dblp-11152,crossref-25252,dblp,crossref,true
dblp-11239,crossref-16804,dblp,crossref,true
dblp-11260,crossref-58876,dblp,crossref,true
dblp-11416,crossref-46527,dblp,crossref,true
dblp-11478,crossref-08543,dblp,crossref,true
dblp-11524,crossref-09462,dblp,crossref,true
dblp-11614,crossref-59104,dblp,crossref,true
dblp-11638,crossref-32030,dblp,crossref,true
dblp-11711,crossref-54530,dblp,crossref,true
dblp-11860,crossref-10852,dblp,crossref,true
dblp-11994,crossref-18400,dblp,crossref,true
dblp-12024,crossref-01712,dblp,crossref,true
dblp-12093,crossref-19413,dblp,crossref,true
dblp-12187,crossref-11895,dblp,crossref,true
dblp-12235,crossref-36278,dblp,crossref,true
dblp-12308,crossref-01393,dblp,crossref,true
dblp-12311,crossref-00101,dblp,crossref,true
dblp-12315,crossref-00023,dblp,crossref,true
dblp-12332,crossref-00957,dblp,crossref,true
dblp-12408,crossref-48154,dblp,crossref,true
dblp-12840,crossref-07209,dblp,crossref,true
