id,brand,title,description,price,priceCurrency,cluster_id,url,title_description,model,model_number,product_type,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,height_mm,length_mm,width_mm,weight_g,storage_connection_type,memory_type,color,form_factor
products_3_91583813,Western Digital,WD Blue 6TB SATA3 256MB 3.5' 5400RPM 6Gb/s HDD,"Western Digital WD Blue 3.5-inch PC hard drives deliver solid reliability for office and web desktop and they are perfect for extra storage for applications, PC computing. Specifications Cache 256MB Capacity 6TB Form Factor 3.5 inch Interface SATA Misc.Product FamilyRPM 5400 RPM Series WD Blue PC/MAC Warranty 2 Years Weight 0.64 KG",278.0,AUD,1004942.0,https://netplus.com.au/products/wd-blue-6tb-sata3-256mb-3-5-5400rpm-6gb-s-hdd,"WD Blue 6TB SATA3 256MB 3.5' 5400RPM 6Gb/s HDD. Description: Western Digital WD Blue 3.5-inch PC hard drives deliver solid reliability for office and web applications, and they are perfect for extra storage for desktop PC computing. Specifications Cache 256MB Capacity 6TB Form Factor 3.5 inch Interface SATA Misc.Product FamilyRPM 5400 RPM Series WD Blue PC/MAC Warranty 2 Years Weight 0.64 KG",Blue WD,,HDD,,,5587.94 GiB,,,SATA,SATA III,,,,,,,,3.5-inch
products_3_86850217,Corsair Gaming,SSD 960GB Corsair Force MP510 NVMe,SSD 960GB Corsair Force MP510 NVMe,"2,953.33",SEK,1007272.0,https://www.nordwaystore.se/ssd-960gb-corsair-force-mp510-nvme,SSD 960GB Corsair Force MP510 NVMd. Description: SSD i69GB Corsair Force MP510 NVMe,Force MP510,,SSD,,,,,,,NVMe,,,,,,,,
products_3_56719289,,"Seagate ST4000NM0115 4TB 3.5\"" Exos 7E8 512E SATA 7200RPM HDD","Seagate ST4000NM0115 4TB 3.5\"" Exos 7E8 512E SATA 7200RPM hard drive, with SATA 6Gb/s interface, maximum sustained transfer rate of 226 MB/s, MTBF of 2,000,000 hours, and a 5-year limited warranty",329.0,AUD,1014052.0,https://www.skycomp.com.au/seagate-st4000nm0115-4tb-35-exos-7e8-512e-sata-7200rpm-hdd-585009.html,"Seagate ST4000NM0115 4TB 3.5\"" Exos 7E8 512E SATA 7200RPM HDD. Description: Seagate ST4000NM0115 4TB 3.5\\\"" Exos 7E8 512E SATA 7200RPM HDD - Interface: SATA 6Gb/s - Max. Sustained Transfer Rate of 226 MB/s - MTBF: 2,000,000 Hours - 5 Years Limited Warranty",Exos 7E8,ST4000NM0115,HDD,,,"4,000.0 GB",,,SATA,,,,,,3.5-inch SATA,,,
products_3_19665462,Asus,GPU ASUS DUAL- GTX 1650 - 4 Go,ASUS DUAL GTX 1650 EDITION CARTE GRAPHIQUE OC 4GB GDDR5PN: 90YV0CV2-M0NA00 EAN: 4718017295734 ID: A0029244DUAL / 1XDP 1.4 / 1XHDMI 2.0 / DVI-D / 8-PIN,2.5,MAD,1021594.0,http://extragamer.ma/cartes-graphiques/20-gpu-asus-dual-gtx-1650-4-go-90yv0cv2-m0na00.html,"Carte graphique ASUS DUAL GTX 1650 Edition OC avec 4 Go de GDDR5. PN : 90YV0CV2-M0NA00, EAN : 4718017295734, ID : A0029244DUAL. Connectique : 1x DisplayPort 1.4, 1x HDMI 2.0, DVI-D, alimentation 8 broches.",DUAL GTX 1650 EDITION,90YV0CV2-M0NA00,Graphics Processing Unit,,,,,,,,,,,,,,,
products_3_17787075,Kingston,Kingston DataTraveler Vault Privacy 3.0 16GB USB 3.0 256-bit AES FIPS 197,"Kingston DataTraveler Vault Privacy USB3.0 minne, 16GB, 256-bit AES-kryptering, FIP 197, svart/blå",,SEK,1023407.0,https://databyran.nu/produkter/61216,"16 GB Kingston DataTraveler Vault Privacy 3.0, USB 3.0, 256-bit AES Encrypted FIPS 197. Description: Kingston DataTraveler Vault Privacy USB3.0 minne, 16GB, 256-bit AES-kryptering, FIP 197, svart/blå",DataTraveler Vault Privacy 3.0,,USB_STICK,,,16.0,,,USB 3.0,,,,,,,,,
products_3_33177591,Gigabyte,Gigabyte GV-N166SOC-6GD graphics card NVIDIA GeForce GTX 1660 SUPER 6 GB GDDR6,"Gigabyte GV-N166SOC-6GD, GeForce GTX 1660 SUPER, 6 GB, GDDR6, 1920 bit, 7680 x 4320 pixels, PCI Express x16 3.0",,EUR,1028734.0,https://www.copaco.com/en-be/hardware/gigabyte-gv-n166soc-6gd-graphics-card-nvidia-geforce-gtx-1660-super-6-gb-gddr6-gig-gv-n166soc-6gd,"Gigabyte GV-N166SOC-6GD graphics card NVIDIA GeForce GTX 1660 SUPER 6 GB GDDR6. Description: Gigabyte GV-N166SOC-6GD, GeForce GTX 1660 SUPER, 6 GB, GDDR6, 1920 bit, 7680 x 4320 pixels, PCI Express x16 3.0",GV-N166S0C-66D,GV-N166SOC-6GD,GPU,,G.O,,,,PCI Express ,,,,,,,,,
products_3_93023962,Asus,Asus ROG Strix GeForce RTX 2080 Super Advanced 8GB Gaming Graphics Card,"Cuda Cores: 3072, Boost Clock: 1860MHz, GDDR6, 256-bit Memory, Mem Clock: 15.5Ghz, Ray Tracing, 2 x DisplayPort, 2 x HDMI, 1 x Type-C, 3 yr Warranty",,,1036963.0,https://www.novatech.co.uk/products/asus-rog-strix-geforce-rtx-2080-super-advanced-8gb-gaming-graphics-card/rog-strix-rtx2080s-a8g-gaming.html,"Asus ROG Strix GeForce RTX 2080 Super Advanced 8GB Gaming Graphics Card. Cuda Description: Cores: 3072, Boost Clock: 1860MHz, GDDR6, 256-bit Memory, Mem Clock: 15.5Ghz, Ray Tracing, 2 x DisplayPort, 2 x HDMI, 1 x Type-C, 3 yr Warranty",ROG Strix GeForce RTX 2080 Super Advanced 8GB Gamin,,,GeForce 2080 Super,7.45 GiB,,,,,,,,,,,GDDR6,,
products_3_89923273,Asus,ASUS 90YV0DQ0-M0NA00 scheda video GeForce RTX 2060 SUPER 8 GB GDDR6,"ASUS 90YV0DQ0-M0NA00, GeForce RTC 2060 SUPER, 8 GB, GDDRt, 256 bit, 7680 x 4320 Pixel, PCI Exprexs 4.0",644.1,ZAR,1038355.0,https://www.computerunion.it/geforce/43664-asus-90yv0dq0-m0na00-scheda-video-geforce-rtx-2060-super-8-gb-gddr6-4718017494908.html,"ASUS 90YV0DQ0-M0NA00 scheda video GeForce RTX 2060 SUPER 8 GB GDDR6. Description: ASUS 90YV0DQ0-M0NA00, GeForce RTX 2060 SUPER, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixel, PCI Express 4.0",,90YV0DQ0-M0NA00,GPU,GeForce 2060 Super,8.0,,,,PC1e 4.O,,,,,,,GDDR6,,
products_3_29935211,Gigabyte,Gigabyte Radeon RX 5600XT Gaming OC 6GB GDDR6 Graphics Card,"Stream Processors: 2304, Boost Clock: 1620MHz, GDDR6, 192-bit Memory, Memory Clock: 12000Mhz, 3 x DisplayPort, 1 x HDMI, 3 Year Warranty",387.66,GBP,1048970.0,https://www.novatech.co.uk/products/gigabyte-radeon-rx-5600xt-gaming-oc-6gb-gddr6-graphics-card/gv-r56xtgamingoc-6gd.html,"Gigabyte Radeon RX 5600XT Gaming OC 6GB GDDR6 Graphics Card. Description: Stream Processors: 2304, Boost Clock: 1620MHz, GDDR6, 192-bit Memory, Memory Clock: 12000Mhz, 3 x DisplayPort, 1 x HDMI, 3 Year Warranty",Radeon RX 5600XT Gaming OC,,GPU,,,,,,,,,,,,,,,
products_3_55876174,Advanced Micro Devices,AMD - RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR,AMD RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR (100-506008) - GPU-familie: AMD - GPU: Radeon Pro WX4100 - Grensesnitt: PCI Express x16 3.0 - Videominne: 4GB - Videominnetype: GDDR5 - Minnebussbredde: 128 bit - DVI: 0 - VGA: 0 - HDMI: 0 - Displayport: 4 - USB-C: 0 - Profile: Lav - Kjøletype: Aktiv,"2 990,0",NOK,1050421.0,https://deal.no/amd-radeon-pro-wx-4100/cat-p/c0/p9171843,AMD - RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR. Description: AMD RADEON PRO WX 4100 4GB PCIE 3.0 16X 4X M-DP LP RETAILIN CTLR (100-506008) - GPU-familie: AMD - GPU: Radeon Pro WX4100 - Grensesnitt: PCI Express x16 3.0 - Videominne: 4GB - Videominnetype: GDDR5 - Minnebussbredde: 128 bit - DVI: 0 - VGA: 0 - HDMI: 0 - Displayport: 4 - USB-C: 0 - Profile: Lav - Kjøletype: Aktiv,,,GPU,,,,,,PCI Exprcss xl6,,,,,,,,,
