entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
dbpedia_2,dbpedia,franchise,List of RoboCop video games,Compilation of RoboCop video games,llm_paraphrase_secondary,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""a6406817e0e5360502cde8e3f271c7e59d107b9e41e9ad72bc304430953e555a.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,hard
dbpedia_62,dbpedia,franchise,Armored Core,Core Armored,eda_random_swap,"{""positions"": [1, 0], ""tokens_before"": [""Core"", ""Armored""], ""tokens_after"": [""Armored"", ""Core""], ""n_swaps"": 1}",1,hard
dbpedia_123,dbpedia,franchise,Call of Duty,Duty of Call,eda_random_swap,"{""positions"": [2, 0], ""tokens_before"": [""Duty"", ""Call""], ""tokens_after"": [""Call"", ""Duty""], ""n_swaps"": 1}",1,hard
dbpedia_152,dbpedia,franchise,Oddworld,Oddworld series,llm_paraphrase_secondary,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""6e7a589169ba5ba4d1b131ce31907d9c8506cd810def3c5b5fc93c87f50b667a.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,hard
dbpedia_163,dbpedia,franchise,Monster Jam,Monster Jam Event,llm_paraphrase_secondary,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""d9937527499428a83aebb40892933ba55837da293fef0370d29384ea4dd80c2f.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,hard
dbpedia_164,dbpedia,franchise,Temple Run (series),Temple Run franchise,llm_paraphrase_secondary,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""0673f71386d686dd3deae5dbe693e3943ca1df5bb1b128ff5972566dd8b5c5dd.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,hard
dbpedia_166,dbpedia,franchise,List of Cabela's video games,List of video games,eda_random_delete,"{""position"": 2, ""token_removed"": ""Cabela's""}",1,hard
dbpedia_169,dbpedia,franchise,List of NASCAR video games,NASCAR video game list,llm_paraphrase_secondary,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""7ad0fa322468f25dffd3acc8c50b2b13b4c1bea69e578799e23197aab2dc0c39.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,hard
dbpedia_185,dbpedia,franchise,Star Wars: Jedi Knight (series),Star Wars: Jedi (series),eda_random_delete,"{""position"": 3, ""token_removed"": ""Knight""}",1,hard
dbpedia_188,dbpedia,franchise,Rock Band,Rock music group,llm_paraphrase_secondary,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""422a053063f4e9b5b8265f9036dd85b09b0144fa100760dab0633485f514cd1e.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,hard
dbpedia_197,dbpedia,franchise,Police Quest,Quest Police,eda_random_swap,"{""positions"": [0, 1], ""tokens_before"": [""Police"", ""Quest""], ""tokens_after"": [""Quest"", ""Police""], ""n_swaps"": 1}",1,hard
dbpedia_204,dbpedia,franchise,List of Yoshi video games,Compilation of Yoshi video games,llm_paraphrase_secondary,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""a44742dba2275834be74d4b2a1632be456fbf0126153c560e75af824a081b025.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,hard
dbpedia_222,dbpedia,franchise,Monster Jam,Monster,eda_random_delete,"{""position"": 1, ""token_removed"": ""Jam""}",1,hard
dbpedia_223,dbpedia,franchise,Formula One (video game series),One (video game series),eda_random_delete,"{""position"": 0, ""token_removed"": ""Formula""}",1,hard
dbpedia_237,dbpedia,franchise,List of Dragon Ball video games,Ball of Dragon List video games,eda_random_swap,"{""positions"": [0, 3], ""tokens_before"": [""List"", ""Ball""], ""tokens_after"": [""Ball"", ""List""], ""n_swaps"": 1}",1,hard
