id1,id2,label
dblp-52683,open_alex-16408,FALSE
dblp-19322,open_alex-08387,FALSE
dblp-09798,open_alex-43224,FALSE
dblp-54957,open_alex-57707,FALSE
dblp-58162,open_alex-57707,FALSE
dblp-16637,open_alex-27766,FALSE
dblp-00590,open_alex-09075,TRUE
dblp-15429,open_alex-44827,FALSE
dblp-16586,open_alex-25428,TRUE
dblp-00308,open_alex-15666,TRUE
dblp-28330,open_alex-13491,TRUE
dblp-20689,open_alex-54194,TRUE
dblp-51226,open_alex-10385,FALSE
dblp-45001,open_alex-08714,TRUE
dblp-57940,open_alex-13491,FALSE
dblp-53200,open_alex-36851,TRUE
dblp-34659,open_alex-52126,FALSE
dblp-34992,open_alex-52126,FALSE
dblp-12526,open_alex-43224,TRUE
dblp-38109,open_alex-59396,TRUE
dblp-25798,open_alex-54099,FALSE
dblp-39312,open_alex-13491,FALSE
dblp-25970,open_alex-52870,TRUE
dblp-32874,open_alex-05559,FALSE
dblp-30736,open_alex-55667,FALSE
dblp-34741,open_alex-44827,TRUE
dblp-42829,open_alex-05559,FALSE
dblp-47206,open_alex-40008,FALSE
dblp-04555,open_alex-30732,TRUE
k04__within_dup__dblp__dblp-20747,open_alex-43224,FALSE
dblp-27120,open_alex-55667,TRUE
dblp-52783,open_alex-36851,FALSE
dblp-53265,open_alex-18027,FALSE
dblp-60464,open_alex-27296,TRUE
dblp-21866,open_alex-10837,FALSE
dblp-17686,open_alex-11773,TRUE
dblp-39612,open_alex-25428,FALSE
dblp-17563,open_alex-25428,FALSE
dblp-47586,open_alex-15666,FALSE
dblp-00852,open_alex-16408,TRUE
dblp-46510,open_alex-11773,FALSE
dblp-04749,open_alex-15666,FALSE
dblp-14354,open_alex-54099,TRUE
dblp-20893,open_alex-40008,FALSE
dblp-07605,open_alex-09739,TRUE
dblp-24292,open_alex-10837,TRUE
dblp-09467,open_alex-44827,FALSE
dblp-12143,open_alex-39103,TRUE
dblp-04365,open_alex-30732,FALSE
dblp-54703,open_alex-10385,TRUE
dblp-09771,open_alex-60186,TRUE
dblp-43637,open_alex-57707,TRUE
dblp-53016,open_alex-18027,TRUE
dblp-45230,open_alex-27766,FALSE
dblp-20633,open_alex-48109,TRUE
dblp-03818,open_alex-52126,FALSE
dblp-57229,open_alex-08387,TRUE
dblp-34410,open_alex-25428,FALSE
dblp-40592,open_alex-15666,FALSE
dblp-22964,open_alex-13491,FALSE
dblp-41121,open_alex-54099,FALSE
dblp-58450,open_alex-47370,FALSE
dblp-52145,open_alex-08387,FALSE
dblp-42777,open_alex-57707,FALSE
dblp-36476,open_alex-11773,FALSE
dblp-26918,open_alex-55667,FALSE
dblp-53094,open_alex-36851,FALSE
dblp-27002,open_alex-55667,FALSE
dblp-35075,open_alex-30732,FALSE
dblp-30465,open_alex-47370,FALSE
dblp-53752,open_alex-44827,FALSE
dblp-55266,open_alex-05559,FALSE
dblp-22621,open_alex-48109,FALSE
dblp-15982,open_alex-36851,FALSE
dblp-02344,open_alex-47370,FALSE
dblp-42550,open_alex-54099,FALSE
dblp-02961,open_alex-10385,FALSE
dblp-60536,open_alex-08836,TRUE
dblp-35023,open_alex-40008,FALSE
dblp-07997,open_alex-48109,FALSE
dblp-36780,open_alex-30732,FALSE
dblp-16922,open_alex-16408,FALSE
k02_interp_papers_00360__dblp,open_alex-27766,FALSE
dblp-50187,open_alex-25356,TRUE
dblp-47348,open_alex-27766,TRUE
dblp-06621,open_alex-08387,FALSE
dblp-44994,open_alex-47370,TRUE
dblp-45408,open_alex-05559,TRUE
dblp-13443,open_alex-58932,TRUE
dblp-59463,open_alex-18027,FALSE
dblp-21448,open_alex-10837,FALSE
dblp-51355,open_alex-10385,FALSE
dblp-13846,open_alex-18027,FALSE
dblp-00956,open_alex-16408,FALSE
dblp-34347,open_alex-40008,TRUE
dblp-09110,open_alex-48109,FALSE
dblp-09115,open_alex-43224,FALSE
dblp-30316,open_alex-52126,TRUE
dblp-41698,open_alex-10837,FALSE
dblp-31938,open_alex-11773,FALSE
