entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
crossref-00065,crossref,authors,"['Xiaoyuan Yi', ' Maosong Sun', ' Ruoyu Li', ' Wenhao Li']","['Xiaoyuan Yi', ' Maosong Xun', ' Ruoyu Ki', ' Wenhzo Li']",typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [26, 40, 51], ""chars"": [""X"", ""K"", ""z""], ""originals"": [""S"", ""L"", ""a""], ""use_adjacency"": true}",6,hard
crossref-00074,crossref,authors,"['Danitza Lira-Palma', ' Karolyn González-Rosales', ' Ramón D. Castillo', ' Rosario Spencer', ' Andrés Fresno']","['Danitza Lira-Palma', ' Karolyn González-R0sales', ' Ramón D. Castillo', ' Rosa4io Soencer', ' Andrés Fresno']",typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [43, 80, 85], ""chars"": [""0"", ""4"", ""o""], ""originals"": [""o"", ""r"", ""p""], ""use_adjacency"": true}",6,hard
crossref-00076,crossref,authors,"['Yongkun Li', ' Xiaofang Meng', ' Yuan Ye']","['Yongkun Li', ' Xjaofang Meng', ' Y7an He']",typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [18, 36, 40], ""chars"": [""j"", ""7"", ""H""], ""originals"": [""i"", ""u"", ""Y""], ""use_adjacency"": true}",6,hard
crossref-00080,crossref,authors,"['Julia Kreutzer', ' Shahram Khadivi', ' Evgeny Matusov', ' Stefan Riezler']","['Julia Krejtzer', ' Shahrwm Khadivi', ' Evgeny Ma5usov', ' Stefan Riezler']",typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [11, 26, 50], ""chars"": [""j"", ""w"", ""5""], ""originals"": [""u"", ""a"", ""t""], ""use_adjacency"": true}",6,hard
crossref-00083,crossref,authors,"['Sijia Liu', ' Feichen Shen', ' Ravikumar Komandur Elayavilli', ' Yanshan Wang', ' Majid Rastegar-Mojarad', ' Vipin Chaudhary', ' Hongfang Liu']","['Sijia Liu', ' Feichen 5hcn', ' Ravikumar Komandur Elayavilli', ' Yanshan Wang', ' Majid Rastegar-Mojarad', ' Vipin Chaudhary', ' Hongfang Liu']",ocr_confuse,"{""positions"": [24, 26], ""chars"": [""5"", ""c""], ""originals"": [""S"", ""e""], ""ocr_kind"": [""single"", ""single""]}",6,hard
crossref-00102,crossref,authors,"['Michael von Domaros', ' Eva Perlt', ' Johannes Ingenmey', ' Gwydyon Marchelli', ' Barbara Kirchner']","['Michael von Domaros', ' Eva Perlt', ' Johannes Ingenmey', ' Gwydyon Marchelli', ' Barbara Kirchner",truncate,"{""cut_length"": 2, ""removed_chars"": ""']""}",6,hard
crossref-00108,crossref,authors,"['James Forrest', ' Somayajulu Sripada', ' Wei Pang', ' George Coghill']","['James Forrest', ' Somayajulu Sripada', ' Wei Pang', ' George Coghill'",truncate,"{""cut_length"": 1, ""removed_chars"": ""]""}",6,hard
crossref-00130,crossref,authors,"['Guannan Zhao', ' Bo Zhou', ' Kaiwen Wang', ' Rui Jiang', ' Min Xu']","['6uannan Zhao', ' Bo Zhou', ' Kaiwen Wong', ' Rui Jiang', ' Min Xu']",ocr_confuse,"{""positions"": [2, 39], ""chars"": [""6"", ""o""], ""originals"": [""G"", ""a""], ""ocr_kind"": [""single"", ""single""]}",6,hard
crossref-00151,crossref,authors,"['Mousa Elrotub', ' Abdelouahed Gherbi']","['Mousa Elrotub', ' Abdelouahed Gherbi'",truncate,"{""cut_length"": 1, ""removed_chars"": ""]""}",6,hard
crossref-00199,crossref,authors,"['Nhuan Tran', ' Thang Nguyen', ' Binh Minh Nguyen', ' Giang Nguyen']","['Nhuan Tran', ' Thang Ngiy3n', ' Binh Minh Ngjyen', ' Giang Nguyen']",typo_substitute,"{""edit_type"": ""substitute"", ""positions"": [25, 27, 46], ""chars"": [""i"", ""3"", ""j""], ""originals"": [""u"", ""e"", ""u""], ""use_adjacency"": true}",6,hard
crossref-00214,crossref,authors,"['Tirthankar Dasgupta', ' Rupsa Saha', ' Lipika Dey', ' Abir Naskar']","['Tirthankar Dasgupta', ' Rupsa Saha', ' LipiKa Dey', ' Abir Naskar']",case_corrupt,"{""position"": 45, ""original"": ""k"", ""replacement"": ""K""}",6,hard
crossref-00226,crossref,authors,"['Ivona Brajević', ' Predrag Stanimirović']","['Ivona Brajević', ' Predrag Stanimirović'",truncate,"{""cut_length"": 1, ""removed_chars"": ""]""}",6,hard
