id1,id2,score
dbpedia_496,metacritic_20196,0.8010039149762859
dbpedia_25606,metacritic_5492,0.9496383970282485
dbpedia_54954,metacritic_2061,0.9920923430731933
dbpedia_31380,metacritic_2061,0.9920923430731933
dbpedia_25152,metacritic_4590,0.9901792296497356
dbpedia_44239,metacritic_6616,0.9968545290799224
dbpedia_17260,metacritic_10479,0.7065852487080893
dbpedia_45939,metacritic_15720,0.9559114984296521
dbpedia_8340,metacritic_6616,0.9894051959873499
dbpedia_32373,metacritic_5943,0.9941487093365562
dbpedia_39397,metacritic_6171,0.9850197624218118
dbpedia_54132,metacritic_8226,0.9761083873714143
dbpedia_18915,metacritic_10007,0.9344229835364375
dbpedia_11478,metacritic_2201,0.9496383970282485
dbpedia_29186,metacritic_3129,0.9705069438205703
dbpedia_63522,metacritic_7110,0.9581897622257763
dbpedia_41636,metacritic_4997,0.9821740282509617
dbpedia_51221,metacritic_17523,0.972642047024516
dbpedia_6197,metacritic_7417,0.9027941653671913
dbpedia_58679,metacritic_20071,0.990025137386204
dbpedia_64833,metacritic_12633,0.9901245357578425
dbpedia_24005,metacritic_17742,0.9862913333138316
dbpedia_53034,metacritic_5022,0.9982116708638622
dbpedia_52619,metacritic_16266,0.9774718595398773
dbpedia_40944,metacritic_3165,0.9408626355748945
dbpedia_15350,metacritic_16040,0.9922611579163185
dbpedia_4664,metacritic_3256,0.942074991340881
dbpedia_55165,metacritic_16411,0.9084685010297978
dbpedia_52356,metacritic_1848,0.9358244672181548
dbpedia_2130,metacritic_2160,0.9773618265124402
dbpedia_22715,metacritic_1169,0.938434013151447
dbpedia_6580,metacritic_3259,0.8826182406428855
dbpedia_50044,metacritic_15526,0.997284488299481
dbpedia_24753,metacritic_8477,0.9945796929074001
dbpedia_63294,metacritic_635,0.9961497544750076
dbpedia_31523,metacritic_13063,0.986683421494391
dbpedia_517,metacritic_9012,0.9808218167691629
dbpedia_44191,metacritic_16459,0.9933966349734232
dbpedia_12619,metacritic_20187,0.9888029616756532
dbpedia_46703,metacritic_8239,0.9944940462864662
dbpedia_5925,metacritic_7957,0.9774166778644354
dbpedia_33713,metacritic_3554,0.9736824845557366
dbpedia_9985,metacritic_15595,0.9898677837498979
dbpedia_36159,metacritic_5258,0.996299401745862
dbpedia_1212,metacritic_3967,0.9958189610603427
dbpedia_55172,metacritic_9439,0.7961419951201144
dbpedia_42389,metacritic_2218,0.9290817020392386
dbpedia_45944,metacritic_5258,0.9930783382528288
dbpedia_14398,metacritic_2139,0.9971800476866862
dbpedia_62701,metacritic_17866,0.9865538898639625
dbpedia_5507,metacritic_10280,0.9798832401129515
dbpedia_42700,metacritic_14443,0.9775975817902159
k02_interp_games_00015__dbpedia,k02_interp_games_00015__metacritic,0.9848254058743271
dbpedia_13182,metacritic_19,0.889502136154156
dbpedia_16904,metacritic_5898,0.9759331226320114
dbpedia_6873,metacritic_2583,0.978582171502492
dbpedia_25343,metacritic_5898,0.9958360308336361
dbpedia_19538,metacritic_11635,0.9704345518783724
dbpedia_31814,metacritic_12442,0.9804925433357163
